"id","make","model","year","color","engine_type","transmission","fuel_type","mileage","price","owner_name","registration_number","insurance_valid_till","service_due_date","number_of_doors","seating_capacity","gps_enabled","bluetooth_enabled","sunroof","air_conditioning"
1,"Make_1","Model_1",1991,"Blue","Engine_1","Manual","Diesel",7,"10004.75","Owner_1","MH1XYZ","2025-08-21","2025-11-19",3,5,False,False,False,False
2,"Make_2","Model_2",1992,"Black","Engine_2","Automatic","Electric",14,"10009.50","Owner_2","MH2XYZ","2025-08-22","2025-11-20",4,6,True,False,False,False
3,"Make_3","Model_3",1993,"White","Engine_3","Manual","Petrol",21,"10014.25","Owner_3","MH3XYZ","2025-08-23","2025-11-21",2,4,False,True,False,False
4,"Make_4","Model_4",1994,"Silver","Engine_4","Automatic","Diesel",28,"10019.00","Owner_4","MH4XYZ","2025-08-24","2025-11-22",3,5,True,False,True,False
5,"Make_5","Model_5",1995,"Red","Engine_5","Manual","Electric",35,"10023.75","Owner_5","MH5XYZ","2025-08-25","2025-11-23",4,6,False,False,False,True
6,"Make_6","Model_6",1996,"Blue","Engine_0","Automatic","Petrol",42,"10028.50","Owner_6","MH6XYZ","2025-08-26","2025-11-24",2,4,True,True,False,False
7,"Make_7","Model_7",1997,"Black","Engine_1","Manual","Diesel",49,"10033.25","Owner_7","MH7XYZ","2025-08-27","2025-11-25",3,5,False,False,False,False
8,"Make_8","Model_8",1998,"White","Engine_2","Automatic","Electric",56,"10038.00","Owner_8","MH8XYZ","2025-08-28","2025-11-26",4,6,True,False,True,False
9,"Make_9","Model_9",1999,"Silver","Engine_3","Manual","Petrol",63,"10042.75","Owner_9","MH9XYZ","2025-08-29","2025-11-27",2,4,False,True,False,False
10,"Make_10","Model_10",2000,"Red","Engine_4","Automatic","Diesel",70,"10047.50","Owner_10","MH10XYZ","2025-08-30","2025-11-28",3,5,True,False,False,True
11,"Make_11","Model_11",2001,"Blue","Engine_5","Manual","Electric",77,"10052.25","Owner_11","MH11XYZ","2025-08-31","2025-11-29",4,6,False,False,False,False
12,"Make_12","Model_12",2002,"Black","Engine_0","Automatic","Petrol",84,"10057.00","Owner_12","MH12XYZ","2025-09-01","2025-11-30",2,4,True,True,True,False
13,"Make_13","Model_13",2003,"White","Engine_1","Manual","Diesel",91,"10061.75","Owner_13","MH13XYZ","2025-09-02","2025-12-01",3,5,False,False,False,False
14,"Make_14","Model_14",2004,"Silver","Engine_2","Automatic","Electric",98,"10066.50","Owner_14","MH14XYZ","2025-09-03","2025-12-02",4,6,True,False,False,False
15,"Make_15","Model_15",2005,"Red","Engine_3","Manual","Petrol",105,"10071.25","Owner_15","MH15XYZ","2025-09-04","2025-12-03",2,4,False,True,False,True
16,"Make_16","Model_16",2006,"Blue","Engine_4","Automatic","Diesel",112,"10076.00","Owner_16","MH16XYZ","2025-09-05","2025-12-04",3,5,True,False,True,False
17,"Make_17","Model_17",2007,"Black","Engine_5","Manual","Electric",119,"10080.75","Owner_17","MH17XYZ","2025-09-06","2025-12-05",4,6,False,False,False,False
18,"Make_18","Model_18",2008,"White","Engine_0","Automatic","Petrol",126,"10085.50","Owner_18","MH18XYZ","2025-09-07","2025-12-06",2,4,True,True,False,False
19,"Make_19","Model_19",2009,"Silver","Engine_1","Manual","Diesel",133,"10090.25","Owner_19","MH19XYZ","2025-09-08","2025-12-07",3,5,False,False,False,False
20,"Make_20","Model_20",2010,"Red","Engine_2","Automatic","Electric",140,"10095.00","Owner_20","MH20XYZ","2025-09-09","2025-12-08",4,6,True,False,True,True
21,"Make_21","Model_21",2011,"Blue","Engine_3","Manual","Petrol",147,"10099.75","Owner_21","MH21XYZ","2025-09-10","2025-12-09",2,4,False,True,False,False
22,"Make_22","Model_22",2012,"Black","Engine_4","Automatic","Diesel",154,"10104.50","Owner_22","MH22XYZ","2025-09-11","2025-12-10",3,5,True,False,False,False
23,"Make_23","Model_23",2013,"White","Engine_5","Manual","Electric",161,"10109.25","Owner_23","MH23XYZ","2025-09-12","2025-12-11",4,6,False,False,False,False
24,"Make_24","Model_24",2014,"Silver","Engine_0","Automatic","Petrol",168,"10114.00","Owner_24","MH24XYZ","2025-09-13","2025-12-12",2,4,True,True,True,False
25,"Make_25","Model_25",2015,"Red","Engine_1","Manual","Diesel",175,"10118.75","Owner_25","MH25XYZ","2025-09-14","2025-12-13",3,5,False,False,False,True
26,"Make_26","Model_26",2016,"Blue","Engine_2","Automatic","Electric",182,"10123.50","Owner_26","MH26XYZ","2025-09-15","2025-12-14",4,6,True,False,False,False
27,"Make_27","Model_27",2017,"Black","Engine_3","Manual","Petrol",189,"10128.25","Owner_27","MH27XYZ","2025-09-16","2025-12-15",2,4,False,True,False,False
28,"Make_28","Model_28",2018,"White","Engine_4","Automatic","Diesel",196,"10133.00","Owner_28","MH28XYZ","2025-09-17","2025-12-16",3,5,True,False,True,False
29,"Make_29","Model_29",2019,"Silver","Engine_5","Manual","Electric",203,"10137.75","Owner_29","MH29XYZ","2025-09-18","2025-12-17",4,6,False,False,False,False
30,"Make_30","Model_30",2020,"Red","Engine_0","Automatic","Petrol",210,"10142.50","Owner_30","MH30XYZ","2025-09-19","2025-12-18",2,4,True,True,False,True
31,"Make_31","Model_31",2021,"Blue","Engine_1","Manual","Diesel",217,"10147.25","Owner_31","MH31XYZ","2025-09-20","2025-12-19",3,5,False,False,False,False
32,"Make_32","Model_32",2022,"Black","Engine_2","Automatic","Electric",224,"10152.00","Owner_32","MH32XYZ","2025-09-21","2025-12-20",4,6,True,False,True,False
33,"Make_33","Model_33",2023,"White","Engine_3","Manual","Petrol",231,"10156.75","Owner_33","MH33XYZ","2025-09-22","2025-12-21",2,4,False,True,False,False
34,"Make_34","Model_34",2024,"Silver","Engine_4","Automatic","Diesel",238,"10161.50","Owner_34","MH34XYZ","2025-09-23","2025-12-22",3,5,True,False,False,False
35,"Make_35","Model_35",1990,"Red","Engine_5","Manual","Electric",245,"10166.25","Owner_35","MH35XYZ","2025-09-24","2025-12-23",4,6,False,False,False,True
36,"Make_36","Model_36",1991,"Blue","Engine_0","Automatic","Petrol",252,"10171.00","Owner_36","MH36XYZ","2025-09-25","2025-12-24",2,4,True,True,True,False
37,"Make_37","Model_37",1992,"Black","Engine_1","Manual","Diesel",259,"10175.75","Owner_37","MH37XYZ","2025-09-26","2025-12-25",3,5,False,False,False,False
38,"Make_38","Model_38",1993,"White","Engine_2","Automatic","Electric",266,"10180.50","Owner_38","MH38XYZ","2025-09-27","2025-12-26",4,6,True,False,False,False
39,"Make_39","Model_39",1994,"Silver","Engine_3","Manual","Petrol",273,"10185.25","Owner_39","MH39XYZ","2025-09-28","2025-12-27",2,4,False,True,False,False
40,"Make_40","Model_40",1995,"Red","Engine_4","Automatic","Diesel",280,"10190.00","Owner_40","MH40XYZ","2025-09-29","2025-12-28",3,5,True,False,True,True
41,"Make_41","Model_41",1996,"Blue","Engine_5","Manual","Electric",287,"10194.75","Owner_41","MH41XYZ","2025-09-30","2025-12-29",4,6,False,False,False,False
42,"Make_42","Model_42",1997,"Black","Engine_0","Automatic","Petrol",294,"10199.50","Owner_42","MH42XYZ","2025-10-01","2025-12-30",2,4,True,True,False,False
