"id","make","model","year","color","engine_type","transmission","fuel_type","mileage","price","owner_name","registration_number","insurance_valid_till","service_due_date","number_of_doors","seating_capacity","gps_enabled","bluetooth_enabled","sunroof","air_conditioning"
1,"Make_1","Model_1",2001,"Blue","V1 Engine","Manual","Diesel",10,"15005.50","Owner_1","REG1","2025-08-21","2025-09-20",3,5,False,False,False,False
2,"Make_2","Model_2",2002,"Black","V2 Engine","Automatic","Electric",20,"15011.00","Owner_2","REG2","2025-08-22","2025-09-21",4,6,True,False,False,False
3,"Make_3","Model_3",2003,"White","V3 Engine","Manual","Petrol",30,"15016.50","Owner_3","REG3","2025-08-23","2025-09-22",2,4,False,True,False,False
4,"Make_4","Model_4",2004,"Silver","V4 Engine","Automatic","Diesel",40,"15022.00","Owner_4","REG4","2025-08-24","2025-09-23",3,5,True,False,True,False
5,"Make_5","Model_5",2005,"Red","V5 Engine","Manual","Electric",50,"15027.50","Owner_5","REG5","2025-08-25","2025-09-24",4,6,False,False,False,True
6,"Make_6","Model_6",2006,"Blue","V6 Engine","Automatic","Petrol",60,"15033.00","Owner_6","REG6","2025-08-26","2025-09-25",2,4,True,True,False,False
7,"Make_7","Model_7",2007,"Black","V7 Engine","Manual","Diesel",70,"15038.50","Owner_7","REG7","2025-08-27","2025-09-26",3,5,False,False,False,False
8,"Make_8","Model_8",2008,"White","V0 Engine","Automatic","Electric",80,"15044.00","Owner_8","REG8","2025-08-28","2025-09-27",4,6,True,False,True,False
9,"Make_9","Model_9",2009,"Silver","V1 Engine","Manual","Petrol",90,"15049.50","Owner_9","REG9","2025-08-29","2025-09-28",2,4,False,True,False,False
10,"Make_10","Model_10",2010,"Red","V2 Engine","Automatic","Diesel",100,"15055.00","Owner_10","REG10","2025-08-30","2025-09-29",3,5,True,False,False,True
11,"Make_11","Model_11",2011,"Blue","V3 Engine","Manual","Electric",110,"15060.50","Owner_11","REG11","2025-08-31","2025-09-30",4,6,False,False,False,False
12,"Make_12","Model_12",2012,"Black","V4 Engine","Automatic","Petrol",120,"15066.00","Owner_12","REG12","2025-09-01","2025-10-01",2,4,True,True,True,False
13,"Make_13","Model_13",2013,"White","V5 Engine","Manual","Diesel",130,"15071.50","Owner_13","REG13","2025-09-02","2025-10-02",3,5,False,False,False,False
14,"Make_14","Model_14",2014,"Silver","V6 Engine","Automatic","Electric",140,"15077.00","Owner_14","REG14","2025-09-03","2025-10-03",4,6,True,False,False,False
15,"Make_15","Model_15",2015,"Red","V7 Engine","Manual","Petrol",150,"15082.50","Owner_15","REG15","2025-09-04","2025-10-04",2,4,False,True,False,True
16,"Make_16","Model_16",2016,"Blue","V0 Engine","Automatic","Diesel",160,"15088.00","Owner_16","REG16","2025-09-05","2025-10-05",3,5,True,False,True,False
17,"Make_17","Model_17",2017,"Black","V1 Engine","Manual","Electric",170,"15093.50","Owner_17","REG17","2025-09-06","2025-10-06",4,6,False,False,False,False
18,"Make_18","Model_18",2018,"White","V2 Engine","Automatic","Petrol",180,"15099.00","Owner_18","REG18","2025-09-07","2025-10-07",2,4,True,True,False,False
19,"Make_19","Model_19",2019,"Silver","V3 Engine","Manual","Diesel",190,"15104.50","Owner_19","REG19","2025-09-08","2025-10-08",3,5,False,False,False,False
20,"Make_20","Model_20",2020,"Red","V4 Engine","Automatic","Electric",200,"15110.00","Owner_20","REG20","2025-09-09","2025-10-09",4,6,True,False,True,True
21,"Make_21","Model_21",2021,"Blue","V5 Engine","Manual","Petrol",210,"15115.50","Owner_21","REG21","2025-09-10","2025-10-10",2,4,False,True,False,False
22,"Make_22","Model_22",2022,"Black","V6 Engine","Automatic","Diesel",220,"15121.00","Owner_22","REG22","2025-09-11","2025-10-11",3,5,True,False,False,False
23,"Make_23","Model_23",2023,"White","V7 Engine","Manual","Electric",230,"15126.50","Owner_23","REG23","2025-09-12","2025-10-12",4,6,False,False,False,False
24,"Make_24","Model_24",2024,"Silver","V0 Engine","Automatic","Petrol",240,"15132.00","Owner_24","REG24","2025-09-13","2025-10-13",2,4,True,True,True,False
25,"Make_25","Model_25",2000,"Red","V1 Engine","Manual","Diesel",250,"15137.50","Owner_25","REG25","2025-09-14","2025-10-14",3,5,False,False,False,True
26,"Make_26","Model_26",2001,"Blue","V2 Engine","Automatic","Electric",260,"15143.00","Owner_26","REG26","2025-09-15","2025-10-15",4,6,True,False,False,False
27,"Make_27","Model_27",2002,"Black","V3 Engine","Manual","Petrol",270,"15148.50","Owner_27","REG27","2025-09-16","2025-10-16",2,4,False,True,False,False
28,"Make_28","Model_28",2003,"White","V4 Engine","Automatic","Diesel",280,"15154.00","Owner_28","REG28","2025-09-17","2025-10-17",3,5,True,False,True,False
29,"Make_29","Model_29",2004,"Silver","V5 Engine","Manual","Electric",290,"15159.50","Owner_29","REG29","2025-09-18","2025-10-18",4,6,False,False,False,False
30,"Make_30","Model_30",2005,"Red","V6 Engine","Automatic","Petrol",300,"15165.00","Owner_30","REG30","2025-09-19","2025-10-19",2,4,True,True,False,True
31,"Make_31","Model_31",2006,"Blue","V7 Engine","Manual","Diesel",310,"15170.50","Owner_31","REG31","2025-09-20","2025-10-20",3,5,False,False,False,False
